review,rating_binary,rating,predictions,prediction_proba_max,probability_value
"The word ""1st"" in the title has more ominous meaning for the viewers of this film than for its crime victims. At least they don't have to stick around and watch this interminable film reach its own demise.1st should refer to: 1st draft of a script; 1st takes used in each performance in the final film; 1st edit in post production; etcetera, etcetera.The movie is not cast too badly, it's just that everything about the film come off as worse than third rate, from the goofy script, to the wooden performances. And while suffering through this cobbled together film, by the 2 hour mark you want to be put out of your misery. At 160 minutes long it is readily apparent that it should have been edited to under 2 hours.Going into details concerning the lame script and acting serves little purposes. Even in the equally awful, Lake Placid, at least the performances Bill Pullman and Bridget Fonda constructed out of an extremely weak script, were nuanced enough to make you laugh at the movie. In 1st to Die, one ends up grieving only for the time lost in waiting to see what happens after the opening scene of the preparation of the female lead's suicide.The editing is so bad one is never introduced to one of the main characters, who I think (were never quite told) is a D.A. She just appears in one scene in the middle of a conversation. Obviously the scene where she is introduced to the viewer was dropped on the editor's floor. And no one realized that a character appearing out of nowhere was an unusual film ploy.In a word, don't waste your time with this one. My wife and I wish we didn't. But at least we created our own diversions by commenting in various places in the film like it was Mystery Science Theater. ""Meanwhile, in Cleveland . . . ."" !!!!",neg,1,neg,0.945763674157616,0.9927414298525293
"Like 'Singin' in the Rain', 'Cover Girl' has a trio of two guys and a girl. In 'Cover Girl', Phil Silvers (Genius) is the comic relief. He corresponds to Donald O'Connor's funny man part in 'Singin in the Rain'. In Cover Girl, Gene Kelly's love interest is Rita Hayworth and in 'Rain', it's Debbie Reynolds. That's where the comparison ends.Whereas ""Singin' in the Rain' is a classic American movie musical, 'Cover Girl' is mediocrity incarnate. The story isn't very complicated. Rusty Parker (Rita Hayworth) is a dancer in Danny MacGuire's low-rent nightclub in Brooklyn. Rusty decides to enter a Cover Girl contest sponsored by a wealthy publisher, John Coudair, who made an unsuccessful play for Rusty's grandmother years ago. Coudair introduces Rusty to Broadway producer Noel Wheaton who makes her into a star. Danny feels slighted when Rusty starts showing up late for rehearsals at the nightclub and decides to close the club down and go on the road entertaining the troops along with his sidekick, Genius. At the last minute, with Rusty at the altar with Noel, she realizes the error of her ways and runs back to Danny. They live happily ever after.Gene Kelly has the least developed part in the movie. All we find out about him is that he owns a nightclub and is madly in love with Rusty. Coudair and Wheaton act like besotted teenagers toward Rusty and Phil Silvers delivers some thoroughly goofy but unfunny shtick. The most interesting aspect of Rita Hayworth's performance is the scene in which she gets drunk. This foreshadows what happened to her in real life. Anyone who has read her biography will learn that she disliked Hollywood, pined away for a normal home life which she could never attain but eventually began drinking and ended up with full-blown Alzheimer's during the last years of her life.Almost all of the songs in Cover Girl are old-fashioned and not very tuneful. Gene Kelly has only one really excellent dance number and that's the scene where he dances with his 'alter ego'. Earlier, the trio has another number which is a pale precursor of 'Make em Laugh' from 'Singin' in the Rain'.The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal. A couple of decades later, Raquel Welch had the same problem. Both actresses later in their careers would always try and find scripts that showcased their acting abilities. They wanted to be known as 'actresses' and not 'pinup girls'. Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.",neg,3,pos,0.6183846892339382,0.7841654398022736
"The only thing that prevented this flick from being a total disaster were a couple of interesting stylish touches. (Moderate Spoiler Alert) Death by comic is a bit derivative of a scene in Twilight Zone: The Movie, which delivers death by cartoon. Still this was handled nicely, especially watching the ink bleed and the color being sapped out.Additionally, there is one other good scene with a demon motorcycle.Having said that, I was glad I got the DVD cheap at a store going out of business sale, because this was pretty awful. I bought ""Soul Survivors"" at the same time and both movies were similarly annoying with the constant realizations that you have been watching a dream. However , where ""Soul Survivors"" has nothing to redeem it, or have it make any sense, this at least had a couple of stylish notes, referred to above.Interestingly, the DVD lets you go to the 8 'nightmares' where something actually happens, which is the only way to watch this. The scripting between the creative gore moments is rather unbearable.3 out of 10.",neg,3,neg,0.6278958902060938,0.8012118055728773
"Already his first claim, that desires are always artificial, is totally fallacious.When a Jehovah Witness reject gets his own documentary on movies  or anything for that matter - it's time for anyone to get their own. Although far, far more intelligent than, say, Paris Hilton (I know, not too difficult) Zizek's mouth spews just as much baloney as hers, just a different kind. He combines the worst from both his professional worlds: psychoanalysis and philosophy. Both fields are notorious for conveniently offering the expert b*lls***osopher plenty of leeway to create unprovable theories, to rant without a beginning or end, and to connect concepts almost randomly, in the process misusing the English language by creating a semantic jumble only a mother can love. Example: there are three main Marx brothers hence what a ""great"" idea to connect them with three levels of human consciousness, the id, the ego and the super-ego. I'm kind of surprised he didn't play a clip from ""Snowhite"" and make an analogy between the seven dwarfs and the seven levels of Gahannah (Moslem hell). It's like the premise of Schumacher's ""The Number 23"": play with numbers long enough, and you can come up with any kind of cockamamie theory you want, even linking Ancient Greeks with Princess Di's death.However, there is an entertainment element to TPGTC: watching a raving lunatic sweat like a hog while uttering delusional chants masked as intellectual analysis can be quite a lot of fun. Why watch ""Cuckoo's Nest"" or any other madhouse drama when you can have Zizek for more than 2 hours? It's like watching an amusing train wreck. Admittedly, he is almost funny on one or two occasions.I have always been mystified by people who desperately try to elevate movie-making into an exalted intellectual social science. Giving idiotic movies like ""Birds"" this much thought, hence this much credit, probably has its fat creator laughing in his grave. The raw truth is that the vast majority of movies have zero intellectual value, and the few ones that do have some intelligence don't require a shrink-turned-philosopher to draw one a map to understand them  unless one is a complete idiot. Zizek sees layers and layers of meaning in the most banal movies. Hallucinogenic drugs must be rather popular and cheap in Slovenia these days...When Zizek showed the bathtub hole in the ""Psycho"" shower scene, I thought he was going to say something about galactic black holes; how they drain the life out of stars just as the bathtub hole sucks in Janet Leigh's blood. Or perhaps he could have said how the hole represents Leigh's vagina, with the blood flowing into it instead of out (as in menstruation), this representing some kind of ""clever (Zizekian) irony"". Speaking of which, the real irony is that if Hitchcock had really put that much thought into every scene (and the script), his movies wouldn't have been the illogical, far-fetched crap that they often are. The point of these bathtub hole analogies was to show just how easy it is to improvise about ""hidden, deep meanings"". And when you add Zizek's fanciful terminology from philosophy and psychology, layering these terms on top of these analogies like wedding cake decorations, you get a rambling jumble that can instantly impress the uneducated - i.e. the easily impressionable and the gullible.Zizek utters a number of (unintentionally) funny things here, one of the most absurd ideas being when he associates Anthony Perkins's cleaning of the bloodied bathroom with ""the satisfaction of work, of a job well done"". Don't laugh... Neither Hitchcock nor the writer of ""Psycho"" could have ever even vaguely entertained this notion that Perkins might be enjoying a job well done - the cleaning of a blood-stained toilet - while they were conceiving/directing that scene. Talk about putting words into one's (dead) mouth, but in the context of misinterpreting what the director had to ""say"".I like Zizek's initial thoughts on Tarkovsky's terrific ""Solaris"", but then he has to ruin a rare good impression by dragging in ""anti-feminism"" and other nonsense into his theory.Zizek's attitude towards logic is that of a dog toward its plastic bone. ""I just want to play with it all day!"" Logic has its rules, and is not supposed to be raped - at least not publicly - by the likes of him. He seems to regard logic, proof, common-sense, and reason as enemies or mere throwaway toys; concepts to be either avoided, twisted to fit the end-goal, or simply annihilated. Zizek is the LSD-tripped hippie, and all his favorite movies are his own personal ""2001""s.The fact that Zizek over-focuses on two of the most overrated directors - and ones whose films often LACK intelligence, if anything - such as Hitchcock and Lynch, only further diminishes his already low credibility. I was surprised De Palma didn't feature more prominently; that's another lame director who writes inept scripts. Zizek has a field day with Lynch's incomprehensible ""Lost Highway"". There are just as many interpretations of that movie as there are people who watched it.Zizek's comment that the viewer readily accepts von Trier's laughable, ""ground-breaking"" physical set-up in ""Dogville"" made me snicker. However, Zizek doesn't only make up stuff as he goes along, he also indulges heavily in the ""bleedin' obvious"". Like all ""social scientists"" (an oxymoron), he wraps his very trite ""observations"" into articulate (if full of spitting) and sometimes complex blankets of language. After all, sociology functions in precisely the same way: it makes us believe we are hearing something new when in fact it's what we already all know, but told in an eloquent way - which fools the more unobservant listener.I was half-expecting for men in white suits to suddenly appear out of nowhere and strap him up in a loonie-suit...Slavoj Zizek: soon as a stalker in a kid's park near you.http://rateyourmusic.com/list/Fedor8/150_worst_cases_of_nepotism/",neg,4,neg,0.7131214488558841,0.9109319550325725
"I remember when THE GOLDEN CHILD was released in 1986 it was universally panned by the critics , and I`m talking panned so badly that it more or less ended the glittering career of Eddie Murphy so I guess this movie has something going for itIt gets off to a bad start where Buddist monks kneel in front of a child with a blank expression on his face . Bad guys enter the templeChild sits with blank expressionBad guys chop up the monksChild sits with blank expressionBad guys pull out giant bird cage and stick the child inside who now sits with ... Go on guess ? You do get the impression that even if they were taking him for a sleepover at Michael Jackson`s wonderland ranch he`d still give the same blank expression , this movie would be better titled THE WOODEN CHILDThe title sequence starts and being a movie from the 1980s a pop soundtrack features heavily . Obviously this might have been cool and funky at the time but now in 2004 it seems very dated . Not only that but it jars completely with the somewhat bloody opening . In fact that`s the main problem ( And boy it`s a serious one ) with this movie - The whole mood seems to change from scene to scene so much so that sometimes it`s like watching scenes from totally different movies spliced together . I blame the director personally but it should also be pointed out that both the screenwriter and producer should share equal blame too . Did anyone know before shooting commenced what type of movie this was going to be ? It`s part fantasy , part martial arts , part buddy movie , part comedy and it`s all crap",neg,3,neg,0.8201457081034977,0.970736432657984
"I should have known when I looked at the box in the video store and saw Lisa Raye - to me, she's the female Ernie Hudson A.K.A. ""Le Kiss of Death"" for *ANY* movie. Its almost *guaranteed* the movie will be bad (e.g. Congo)if Hudson is in it (with the exception of the Ghostbusters films, which were intentionally campy and bad). Despite my instincts, and the fact that I just saw Civil Brand, yet another cinematic ""tour de force"" starring Lisa Raye, I rented it anyway. After all, I ignored my ""Hudson instinct"" on OZ and ended up watching a very quality series so I figured I'd give this movie a chance.If you are a lover of bad movies, this is a definite must see! This has got to be the most unintentionally funny movie I've seen in a loooong time. The plot is fairly straightforward: Racheal's (Monica Calhoun) sister is killed by a band of brigands (Led by Bobby Brown!) and, like many an action movie before this, she straps on her guns ONE LAST TIME and vows to avenge her sisters death. To do this, she reassembles the titular Gang of Roses (supposedly based on a true story of a female gang) and they go out and exact revenge and, along the way, there's some subplot or something or other about some gold that might be buried in the town. One nice thing I will say about this movie is that from what I could tell, the stars did their own riding and they looked GREAT galloping.The funniest (albiet unintentionally funny) scenes? Look for when they introduce Stacy Dash's character or when Calhoun's character rescinds her vow not to strap on her guns (replete with a clenched fisted cry to the heavens) or Lil' Kim's character joking with Lisa Raye's character or Stacy Dash's character being killed or Lil' Kim's character convincing Lisa Raye's character to rejoin the gang or the Asian Chick or Macy Grey's character talking bout ""The debt is paid"", etc. With the exception of Calhoun's Racheal and Bobby Brown's Left-Eye, I can't even remember the names of the other characters cuz I was laughing so hard when they were introduced.If the director had gone for parody and broad comedy this would have been a great movie. Unfortunately, he tries to take it seriously seemingly without first taking exposition, sound design (in his defense, Hip-Hop is notoriously difficult to work into a period piece), set design, script writing nor period historical research (was it me,or were these the cleanest people with the whitest teeth in the old west?) seriously. Usually when I see a movie that's not so good, I ask myself ""Could you have done any better?"" This is the first time in a long time where the answer is an unequivocal ""YES!""",neg,4,neg,0.7041015271438842,0.9025924455245974
"... BREAKER MORANT and ROMPER STOMPER . It has also given us watchable films such as BOOTMEN and THE ODD ANGRY SHOT . Unfortunately for everyone involved in this debacle THE WOG BOY won't be joining appearing in either list .I was looking forward to seeing this movie simply because of the politically incorrect title , so politically incorrect that when it was broadcast on BBC 2 late at night the announcer didn't even mention the movie's name so I was expecting something so offensively anachronistic that my jaw was going to drop in disbelief . It did drop in disbelief , I found myself not being able to believe that the financiers thought this was going to be a major international hit The problem lies with the cast and the script . I do know that Australia with its small population doesn't have a large pool of actors so I'll be forgiving for the most part , but this doesn't stop my criticism of Nick Giannopoulos as Steve . For this type of comedy to work you must be impressed with the comic skills of the lead actor and I'm sorry to say but Nick G just doesn't have the skills . I'd never heard of him and seen nothing else he's been in so perhaps he's much better at other performances . Here however he's just plain irritating , unconvincing and I lost count at the number of times he mugged for the camera . The jokes themselves are very flat and predictable and getting back to the script it seems very under developed , I mean who thought a running gag about a female Minster Of Work who's having it off in the back of a limousine was funny to begin with ? You do get the feeling that someone in the production should have been more honest and said "" Look mate , this screenplay's not nearly good enough . Go and make it more subtle and structured ""I've been harsh and harshness has been called for in this review . I gave the movie four out of ten and it would have only got three if it wasn't for the one genuinely funny sequence where Steve is watching a current affairs show only for himself flashing up on screen and labelled a "" Dole blodger "" . This shows that the screenwriters were aware of comic timing and social comment . Such a pity that they didn't come with a much better written movie",neg,4,neg,0.8750389896365606,0.9839024516821564
"This film aka ""the four hundred blows"" is a mistranslation.Faire les 400 coups"" means""to live a wild life. As a French,I'm stunned when I see the popularity of this good ,but by no means outstanding film. 1.It's not the first film of the ""nouvelle vague"" move;check Agnes Varda's ""la pointe courte"",(1956)Alain Resnais's ""Hiroshima mon amour""(1958),Claude Chabrol's ""le beau serge""(1958) are anterior .Historically,""les 400 coups "" comes after. 2.The ""nouvelle vague"" was sometimes ponderous and hard on their predecessors:Overnight,Julien Duvivier,Henri-George Clouzot,Claude Autant-Lara ,Yves allégret and a lot of others were doomed to oblivion.THis selfishness and this contempt is typically ""nouvelle vague"".You 've never heard (or read) the great generation of the thirties (Renoir,Carné,Grémillon,Duvivier already,Feyder) laugh at ,say,Maurice Tourneur or Max Linder.So,thanks to Truffaut and co,some people will never discover some gems of the French fifties or forties(Duvuvier's ""sous le ciel de Paris"",Autant-Lara's ""douce"",Yves Allégret's ""une si jolie petite plage "" and ""manèges"").THe novelle vague clique went as far as saying that William Wyler,Georges Stevens and Fred Zinemann were worthless! 3.""Les 400 coups "" is technically rather disappointing:it's very academic ,the story is as linear as it can be,the teachers are caricatures,and the mother Claire Maurier delivers such memorable lines as (you've got to be a French circa 1960 to understand how ridiculous it is): Well ,your father 's got only his brevet (junior school diploma)and,as for me ,I've got only my high school diploma!You've got to know,that circa 1960,hardly 10%of the pupils had the HSD in France! Antoine Doinel should have been proud of his mother after all!She wants him to have diplomas,who can blame her? 4.Compared to the innovations of ""Hiroshima mon amour"",which features a brand new form,and a new ""fragmented "" content,""les 400 coups "" pales into significance.Truffaut will master a new form only with the highly superior ""Jules and Jim"", helped by the incomparable Jeanne Moreau. 5.The interpretation is rather stiff;Jean-Pierre Léaud ,arguably listenable when dubbed in English ,is still decent,but he will soon degenerate into the most affected of his generation. 6.The topic=stolen childhood had better days,before (Julien Duvivier's ""Poil de carotte"" ,Luis Bunuel's ""los olvidados"") and will have after (Maurice Pialat's ""l'enfance nue"",Kenneth Loach's ""Kes"") I do not want to demean Truffaut,his movie is not bad,but,frankly,French movie buffs,prefer ""Jules and Jim"" ""l'enfant sauvage"" (a film honest ,true and commercially uncompromizing to a fault)""l'argent de poche""(as academic as ""400 coups"" but much more funny)or his nice Hitchcock pastiche ""vivement dimanche"".",neg,1,pos,0.598371673417954,0.7449398193090861
"The only reason I checked this film out was to see the ""early"" Kim Bassinger. That, and the fact that my TV guide said it was a ""gripping suspense"", and it was three-star rated. The rating must have come from the man who wrote this drivel because the only suspense in this movie was whether I would finish it or not. Robert Culp turns in what has to be the ""disaster"" of his career as a cop who is not even close to being believeable. At one point, EVERYBODY is a suspect, including a frail old woman. If you want to deliberately set out to watch a badly written, badly directed, badly acted movie...then go for it. It may make you appreciate fine films by comparison. I wish I had that hour and thirty six minutes back.",neg,1,neg,0.8242125987161366,0.9719886899565776
"If you want to see intelligent, philosophical discussion of human possibility and potential, watch ""Waking Life,"" which is brilliant. ""What the #$*! Do We Know"" is all over the place in its focus, poorly directed, poorly written, poorly acted, utterly devoid of any art direction and completely annoying. It wasn't thought-provoking or entertaining in the slightest. The inclusion of that rambling freak ""Ramtha"" in this film is reason enough to avoid it. Isn't it strange how the filmmakers choose to look over the fact that this woman worships some 2,000 year old Atlantian god or something? What a flake that old chick is, and what a total waste of my time and money this movie was. The people responsible for this film should not be allowed to make another movie ever again.",neg,1,neg,0.9554099083804819,0.9935085364359983
